Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Wuhan/HBCDC-HB-01/2019	Hubei	Hubei	EPI_ISL_402132	Wuhan Jinyintan Hospital	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
Wuhan/WH01/2019	Hubei	Hubei	EPI_ISL_406798	General Hospital of Central Theater Command of People's Liberation Army of China	Asia	Asia	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al A (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Wuhan/HB-WH5-220/2020	Hubei	Hubei	EPI_ISL_454965	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/IVDC-HB-05/2019	Hubei	Hubei	EPI_ISL_402121	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al A (https://dx.doi.org/10.1056/NEJMoa2001017)
env/Wuhan/IVDC-HBF13/2020	Hubei	Hubei	EPI_ISL_408511	Institute of Viral Disease Control and Prevention, China CDC	Asia	Asia	Institute of Viral Disease Control and Prevention, China CDC	William J. Liu et al
Hangzhou/ZJU-07/2020	Zhejiang	Zhejiang	EPI_ISL_416425	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Asia	Asia	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
Guangdong/20SF179/2020	Guangdong	Guangdong	EPI_ISL_428451	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Guangdong/DG-S9-P0045/2020	Guangdong	Guangdong	EPI_ISL_413868	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Asia	Asia	Guangdong Provincial Institution of Public Health	Jing Lu et al (https://dx.doi.org/10.1016/j.cell.2020.04.023)
Wuhan/IPBCAMS-WH-01/2019	Hubei	Hubei	EPI_ISL_402123	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Asia	Asia	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al A
Taiwan/TSGH-37/2020	Taiwan	Taiwan	EPI_ISL_457733	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Wuhan/WIV07/2019	Hubei	Hubei	EPI_ISL_402130	Wuhan Jinyintan Hospital	Asia	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/OS52/2020	Hubei	Hubei	EPI_ISL_450500		Asia	Asia	CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al
Wuhan/IPBCAMS-WH-03/2019	Hubei	Hubei	EPI_ISL_403930	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Asia	Asia	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al B (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
Wuhan/WIV05/2019	Hubei	Hubei	EPI_ISL_402128	Wuhan Jinyintan Hospital	Asia	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Jiangsu/JS01/2020	Jiangsu	Jiangsu	EPI_ISL_411950	NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology	Asia	Asia	Jiangsu Provincial Center for Disease Control & Prevention	Lunbiao Cui et al
Sichuan/SC-PHCC1-036/2020	Sichuan	Sichuan	EPI_ISL_451357	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Israel/CVL-n3166/2020	Israel	Israel	EPI_ISL_447250	Central Virology Laboratory	Asia	Asia	Central Virology Laboratory	Neta Zuckerman et al
Wuhan/IVDC-HB-04/2020	Hubei	Hubei	EPI_ISL_402120	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al A (https://dx.doi.org/10.1056/NEJMoa2001017)
Thailand/Bangkok_168/2020	Bangkok	Bangkok	EPI_ISL_450196	bumrungrad international hospital	Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/SI200615-NT/2020	Thailand	Thailand	EPI_ISL_437618		Asia	Asia	Faculty of Medicine	Rodpan et al
Wuhan/WIV02/2019	Hubei	Hubei	EPI_ISL_402127	Wuhan Jinyintan Hospital	Asia	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
USA/CA8/2020	North America	North America	EPI_ISL_411955	California Department of Public Health	North America	North America	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
Wuhan/IVDC-HB-GX02/2019	Hubei	Hubei	EPI_ISL_434534	National Institute for Viral Disease Control and Prevention, China CDC	Asia	Asia	National Institute for Viral Disease Control and Prevention, China CDC, Yunnan Provincial CDC	Wenjie Tan et al B
Wuhan/HBCDC-HB-02/2019	Hubei	Hubei	EPI_ISL_412898	Wuhan Jinyintan Hospital	Asia	Asia	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al A (https://dx.doi.org/10.1101/2020.03.04.976662)
Sichuan/SC-GA-066/2020	Sichuan	Sichuan	EPI_ISL_451317	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-PHCC1-030/2020	Sichuan	Sichuan	EPI_ISL_451351	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH4-288/2020	Sichuan	Sichuan	EPI_ISL_451390	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH2-006/2020	Sichuan	Sichuan	EPI_ISL_451076	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH2-017/2020	Sichuan	Sichuan	EPI_ISL_451378	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH4-293/2020	Sichuan	Sichuan	EPI_ISL_451394	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-WCH3-254/2020	Sichuan	Sichuan	EPI_ISL_451383	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-LZ-079/2020	Sichuan	Sichuan	EPI_ISL_451318	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
