Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
HongKong/HKSH0003/2020	Hong Kong	Hong Kong	EPI_ISL_430018	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Asia	Asia	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Chun Hang AU et al
HongKong/HKSH0004/2020	Hong Kong	Hong Kong	EPI_ISL_430063	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Asia	Asia	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Chun Hang AU et al
Italy/PV-5314-N/2020	Europe	Europe	EPI_ISL_451307	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Fausto Baldanti et al
Georgia/Tb/2020	Tbilisi	Tbilisi	EPI_ISL_416482	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Adam Kotorashvili et al
Iceland/103/2020	Europe	Europe	EPI_ISL_417698	The National University Hospital of Iceland	Europe	Europe	deCODE genetics	Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
NewZealand/20VR2085/2020	Oceania	Oceania	EPI_ISL_456369	Canterbury Health Laboratories	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR2065/2020	Oceania	Oceania	EPI_ISL_456356	Canterbury Health Laboratories	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1278/2020	Oceania	Oceania	EPI_ISL_456203	LabPLUS	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Italy/BG-5825-22Feb/2020	Europe	Europe	EPI_ISL_460079	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Barbara Bartolini et al
Slovakia/SK-BMC1/2020	Europe	Europe	EPI_ISL_417877	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava	Europe	Europe	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava	Monika Slávikova et al
India/NIV-2387/2020	Maharashtra	Maharashtra	EPI_ISL_454527	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
